Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
T&I Project,MACHINERIES,15-01-2022,0,3,6,47860
TOTAL                                   ,                              ,          ,0,3,6,47860
T.A.TRADERS,COIR MATS,18-10-2022,0,1,2,19915
TOTAL                                   ,                              ,          ,0,1,2,19915
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,15-05-2022,0,1,2,23280
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,30-04-2022,0,0,0,3660
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,05-12-2022,0,1,2,26282
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,19-12-2022,1,0,1,11610
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,18-10-2022,0,1,2,25595
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,24-09-2022,0,1,2,24000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,14-08-2022,0,1,2,25000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,30-10-2022,0,1,2,24000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,13-11-2022,0,1,2,21000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,27-11-2022,0,1,2,22750
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,18-12-2022,0,1,2,20000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,11-01-2022,0,1,2,26050
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,20-07-2022,0,1,2,24000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,25-12-2022,0,1,2,19000
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,20-11-2022,0,1,2,21850
T.J.P. RUBBER INDUSTRIES,RUBBER MATS,10-03-2022,0,1,2,23000
TOTAL                                   ,                              ,          ,1,14,29,341077
T.J.P.EXPORTS,RUBBER MATS,20-02-2022,0,1,2,20000
T.J.P.EXPORTS,RUBBER MATS,19-03-2022,0,1,2,25000
T.J.P.EXPORTS,RUBBER MATS,17-08-2022,0,1,2,25300
T.J.P.EXPORTS,RUBBER MATS,24-06-2022,0,2,4,40000
T.J.P.EXPORTS,RUBBER MATS,19-07-2022,0,1,2,20594
T.J.P.EXPORTS,RUBBER MATS,27-01-2022,0,3,6,60000
T.J.P.EXPORTS,RUBBER MATS,28-04-2022,0,1,2,19000
TOTAL                                   ,                              ,          ,0,10,20,209894
T.K.MACHINERIES,MACHINERIES,15-11-2022,0,0,0,750
T.K.MACHINERIES,MACHINERIES,17-03-2022,0,0,0,800
T.K.MACHINERIES,MACHINERIES,25-02-2022,1,0,1,2100
T.K.MACHINERIES,MACHINERIES,23-01-2022,0,0,0,800
T.K.MACHINERIES,SPARES,11-08-2022,0,1,2,2100
TOTAL                                   ,                              ,          ,1,1,3,6550
T.M. COCONUT SUPPLIERS,COCONUTS,27-03-2022,0,1,2,28350
TOTAL                                   ,                              ,          ,0,1,2,28350
T.M.KNITWEAR,COTTON GARMENTS,02-01-2022,0,1,2,1484
T.M.KNITWEAR,COTTON GARMENTS,17-06-2022,0,0,0,101
T.M.KNITWEAR,COTTON GARMENTS,06-03-2022,0,0,0,108
T.M.KNITWEAR,COTTON GARMENTS,17-03-2022,0,0,0,107
T.M.KNITWEAR,COTTON GARMENTS,17-06-2022,0,0,0,645
T.M.KNITWEAR,COTTON GARMENTS,30-06-2022,1,0,1,1543
T.M.KNITWEAR,COTTON GARMENTS,26-07-2022,1,0,1,3200
T.M.KNITWEAR,COTTON GARMENTS,01-01-2022,0,0,0,939
T.M.KNITWEAR,COTTON GOODS,28-04-2022,0,0,0,379
T.M.KNITWEAR,COTTON GOODS,20-05-2022,0,0,0,746
T.M.KNITWEAR,COTTON GOODS,20-07-2022,0,0,0,382
TOTAL                                   ,                              ,          ,2,1,4,9634
T.M.V.NATURAL OILS&EXTRACTS P.LTD.,OLEORESINS OF SPICES,14-06-2022,0,0,0,1525
TOTAL                                   ,                              ,          ,0,0,0,1525
T.N.AUTO,AUTOMOTIVE TIMING CHAINS,08-08-2022,1,0,1,18000
TOTAL                                   ,                              ,          ,1,0,1,18000
T.P.READYMADE&TEXTILE SOURCING CO.,COTTON GOODS,16-01-2022,1,0,1,4814
T.P.READYMADE&TEXTILE SOURCING CO.,COTTON GOODS,10-05-2022,1,0,1,2748
T.P.READYMADE&TEXTILE SOURCING CO.,COTTON GOODS,14-06-2022,0,0,0,2045
TOTAL                                   ,                              ,          ,2,0,2,9607
T.R.PACKING PRODUCTS,PACKING MATERIALS,10-05-2022,0,0,0,4998
TOTAL                                   ,                              ,          ,0,0,0,4998
T.S.K.GARMENTS,COTTON GARMENTS,20-05-2022,0,3,6,19234
T.S.K.GARMENTS,COTTON GARMENTS,17-06-2022,0,1,2,4704
T.S.K.GARMENTS,COTTON GARMENTS,06-11-2022,0,1,2,1352
T.S.K.GARMENTS,COTTON GARMENTS,10-10-2022,1,0,1,4996
T.S.K.GARMENTS,COTTON GARMENTS,22-06-2022,0,0,0,302
T.S.K.GARMENTS,COTTON GARMENTS,13-11-2022,0,1,2,10021
T.S.K.GARMENTS,COTTON GARMENTS,17-06-2022,0,0,0,4685
T.S.K.GARMENTS,COTTON GOODS,18-12-2022,0,3,6,22765
T.S.K.GARMENTS,COTTON GOODS,30-08-2022,0,3,6,14066
T.S.K.GARMENTS,COTTON GOODS,11-09-2022,0,1,2,9782
T.S.K.GARMENTS,COTTON GOODS,20-02-2022,0,1,2,2127
T.S.K.GARMENTS,COTTON GOODS,20-07-2022,1,0,1,3200
T.S.K.GARMENTS,COTTON GOODS,07-08-2022,0,1,2,4971
TOTAL                                   ,                              ,          ,2,15,32,102205
T.V. SREEDHARAN & SONS,COIR MATS,05-12-2022,0,0,0,8806
T.V. SREEDHARAN & SONS,RUBBER MATS,11-10-2022,1,0,1,5000
T.V. SREEDHARAN & SONS,RUBBER MATS,05-12-2022,1,0,1,2408
TOTAL                                   ,                              ,          ,2,0,2,16214
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,10-01-2022,0,25,50,211848
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,16-01-2022,0,20,40,162960
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,23-01-2022,0,22,44,181160
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,30-01-2022,0,36,72,285530
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,09-02-2022,0,20,40,162980
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,03-03-2022,0,10,20,81248
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,14-04-2022,0,10,20,81480
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,03-05-2022,0,10,20,81480
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,16-05-2022,0,10,20,81480
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,30-05-2022,0,30,60,244440
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,05-10-2022,0,1,2,10992
T.V.S.MOTOR COMPANY,MOTORBIKE & SPARE PARTS,19-08-2022,0,1,2,19094
TOTAL                                   ,                              ,          ,0,195,390,1604692
TAAA ENTERPRISES,SOAP,09-02-2022,0,0,0,2950
TOTAL                                   ,                              ,          ,0,0,0,2950
TAG CHEMICALS INDIA PVT LTD.,CHEMICALS,21-10-2022,1,0,1,8304
TAG CHEMICALS INDIA PVT LTD.,CHEMICALS,30-05-2022,0,0,0,6000
TAG CHEMICALS INDIA PVT LTD.,CHEMICALS,04-06-2022,0,0,0,2010
TAG CHEMICALS INDIA PVT LTD.,CHEMICALS,29-11-2022,0,0,0,2076
TOTAL                                   ,                              ,          ,1,0,1,18390
TAILORMADE IMPORT & EXPORT PVT LTD,FOOD STUFFS,10-12-2022,0,2,4,50800
TOTAL                                   ,                              ,          ,0,2,4,50800
TAJ ANTIQUES & HANDICRAFTS,HANDICRAFTS,01-02-2022,0,0,0,100
TOTAL                                   ,                              ,          ,0,0,0,100
TAJ COIR MILLS,COIR GEO FABRICS,20-06-2022,0,1,2,9090
TAJ COIR MILLS,COIR GEO FABRICS,24-06-2022,0,1,2,9090
TAJ COIR MILLS,COIR GEO FABRICS,19-07-2022,0,1,2,10260
TAJ COIR MILLS,COIR GEO FABRICS,25-08-2022,0,1,2,9090
TAJ COIR MILLS,COIR GEO FABRICS,30-06-2022,0,1,2,7273
TAJ COIR MILLS,COIR GEO FABRICS,07-09-2022,0,1,2,6060
TAJ COIR MILLS,COIR GEO FABRICS,26-06-2022,0,2,4,17776
TAJ COIR MILLS,COIR GEO FABRICS,17-08-2022,0,2,4,23230
TAJ COIR MILLS,COIR GEO FABRICS,25-08-2022,0,2,4,17776
TAJ COIR MILLS,COIR GEO FABRICS,20-06-2022,0,1,2,13332
TAJ COIR MILLS,COIR GEO FABRICS,24-06-2022,0,1,2,13332
TAJ COIR MILLS,COIR GEO FABRICS,25-08-2022,0,1,2,13332
TAJ COIR MILLS,COIR MATS,21-09-2022,1,0,1,7821
TAJ COIR MILLS,COIR MATS,17-08-2022,0,2,4,14948
TAJ COIR MILLS,COIR MATS,12-01-2022,1,0,1,3800
TAJ COIR MILLS,COIR MATS,29-10-2022,1,0,1,5806
TAJ COIR MILLS,COIR MATS,24-02-2022,0,3,6,57240
TAJ COIR MILLS,COIR MATS,30-08-2022,0,0,0,938
TAJ COIR MILLS,COIR MATS,02-07-2022,0,0,0,262
TAJ COIR MILLS,COIR MATS,17-12-2022,0,0,0,3395
TAJ COIR MILLS,COIR MATS,27-02-2022,0,5,10,95496
TAJ COIR MILLS,COIR MATS,09-02-2022,1,0,1,3665
TAJ COIR MILLS,COIR MATS,08-06-2022,1,0,1,6060
TAJ COIR MILLS,COIR MATS,20-06-2022,1,0,1,6060
TAJ COIR MILLS,COIR MATS,19-07-2022,1,0,1,6840
TAJ COIR MILLS,COIR MATS,07-09-2022,1,0,1,9494
TAJ COIR MILLS,COIR MATS,26-06-2022,0,1,2,17776
TAJ COIR MILLS,COIR MATS,02-07-2022,1,1,3,17776
TAJ COIR MILLS,COIR MATS,19-07-2022,0,2,4,40148
TAJ COIR MILLS,COIR MATS,10-09-2022,1,1,3,22962
TAJ COIR MILLS,COIR MATS,25-02-2022,0,2,4,38817
TAJ COIR MILLS,COIR MATS,12-12-2022,1,0,1,5040
TAJ COIR MILLS,COIR MATS,18-06-2022,0,2,4,36283
TAJ COIR MILLS,COIR MATS,22-07-2022,0,2,4,41522
TAJ COIR MILLS,COIR MATS,13-08-2022,0,2,4,38600
TAJ COIR MILLS,COIR MATS,28-11-2022,0,1,2,18500
TAJ COIR MILLS,COIR MATS,24-02-2022,0,2,4,38165
TAJ COIR MILLS,COIR MATS,23-03-2022,0,2,4,39222
TAJ COIR MILLS,COIR MATS,05-05-2022,0,2,4,39005
TAJ COIR MILLS,COIR MATS,20-05-2022,0,2,4,39137
TAJ COIR MILLS,COIR MATS,19-09-2022,0,2,4,40422
TAJ COIR MILLS,COIR MATS,26-11-2022,0,3,6,61411
TAJ COIR MILLS,COIR MATS,16-01-2022,2,0,2,24240
TAJ COIR MILLS,COIR MATS,19-07-2022,0,1,2,15048
TAJ COIR MILLS,COIR MATS,30-08-2022,0,2,4,46774
TAJ COIR MILLS,COIR MATS,07-09-2022,0,3,6,67700
TAJ COIR MILLS,COIR MATS,15-05-2022,0,2,4,39726
TAJ COIR MILLS,COIR MATS,18-05-2022,0,2,4,38681
TAJ COIR MILLS,COIR MATS,04-06-2022,0,5,10,95174
TAJ COIR MILLS,COIR MATS,26-06-2022,0,1,2,18715
TAJ COIR MILLS,COIR MATS,02-07-2022,0,2,4,41862
TAJ COIR MILLS,COIR MATS,05-07-2022,0,2,4,37874
TAJ COIR MILLS,COIR MATS,13-07-2022,0,1,2,19634
TAJ COIR MILLS,COIR MATS,27-02-2022,0,1,2,18525
TAJ COIR MILLS,COIR MATS,03-03-2022,0,1,2,19336
TAJ COIR MILLS,COIR MATS,23-03-2022,0,1,2,19032
TAJ COIR MILLS,COIR MATS,14-06-2022,0,1,2,15440
TOTAL                                   ,                              ,          ,13,77,167,1424013
TAK AUTOMATION,AUTOMOBILES PARTS,31-03-2022,0,0,0,2680
TAK AUTOMATION,AUTOMOBILES PARTS,12-07-2022,0,0,0,1660
TOTAL                                   ,                              ,          ,0,0,0,4340
TAKA PANELS,DOORS,02-08-2022,1,0,1,18000
TOTAL                                   ,                              ,          ,1,0,1,18000
TAKE OFF SPORTS,SPORTS ARTICLES,21-10-2022,0,0,0,54
TOTAL                                   ,                              ,          ,0,0,0,54
TALAL AGRO MANUFACTURES,COCONUT OIL,04-10-2022,1,0,1,15620
TALAL AGRO MANUFACTURES,CORIANDER SEEDS,18-10-2022,1,0,1,13356
TALAL AGRO MANUFACTURES,FOOD STUFFS,19-10-2022,1,0,1,14000
TALAL AGRO MANUFACTURES,FOOD STUFFS,27-12-2022,1,0,1,21000
TALAL AGRO MANUFACTURES,FOOD STUFFS,18-07-2022,1,0,1,11389
TALAL AGRO MANUFACTURES,FOOD STUFFS,01-11-2022,1,0,1,14067
TALAL AGRO MANUFACTURES,FOOD STUFFS,29-06-2022,1,0,1,9953
TALAL AGRO MANUFACTURES,FOOD STUFFS,07-09-2022,1,0,1,14000
TALAL AGRO MANUFACTURES,FOOD STUFFS,13-09-2022,1,0,1,18000
TALAL AGRO MANUFACTURES,FOOD STUFFS,05-12-2022,1,0,1,14416
TALAL AGRO MANUFACTURES,FOOD STUFFS,30-08-2022,1,0,1,16949
TALAL AGRO MANUFACTURES,FOOD STUFFS,08-06-2022,1,0,1,17685
TALAL AGRO MANUFACTURES,FOOD STUFFS,04-05-2022,1,0,1,11901
TALAL AGRO MANUFACTURES,FOOD STUFFS,26-07-2022,1,0,1,18000
TALAL AGRO MANUFACTURES,FOOD STUFFS,19-12-2022,1,0,1,18279
TALAL AGRO MANUFACTURES,FOOD STUFFS,02-11-2022,1,0,1,14134
TALAL AGRO MANUFACTURES,FOOD STUFFS,11-02-2022,1,0,1,13591
TALAL AGRO MANUFACTURES,PUTTU PODI,01-11-2022,1,0,1,12868
TALAL AGRO MANUFACTURES,PUTTU PODI,09-02-2022,1,0,1,13830
TALAL AGRO MANUFACTURES,PUTTU PODI,11-10-2022,1,0,1,17447
TALAL AGRO MANUFACTURES,RICE,10-11-2022,1,0,1,26000
TALAL AGRO MANUFACTURES,RICE,23-11-2022,1,0,1,26000
TOTAL                                   ,                              ,          ,22,0,22,352485
TALENT INTERNATIONAL,PLYWOOD,16-04-2022,0,1,2,27402
TALENT INTERNATIONAL,PLYWOOD,29-09-2022,0,1,2,27480
TALENT INTERNATIONAL,PLYWOOD,02-12-2022,0,1,2,26499
TALENT INTERNATIONAL,PLYWOOD,04-01-2022,3,0,3,50225
TALENT INTERNATIONAL,PLYWOOD,21-01-2022,2,0,2,32000
TALENT INTERNATIONAL,PLYWOOD,01-02-2022,1,0,1,15126
TALENT INTERNATIONAL,PLYWOOD,07-03-2022,4,0,4,61895
TALENT INTERNATIONAL,PLYWOOD,17-03-2022,1,0,1,16810
TALENT INTERNATIONAL,PLYWOOD,30-08-2022,3,0,3,48699
TALENT INTERNATIONAL,PLYWOOD,12-09-2022,1,0,1,14926
TALENT INTERNATIONAL,PLYWOOD,19-09-2022,1,0,1,14786
TALENT INTERNATIONAL,PLYWOOD,17-08-2022,7,0,7,107922
TALENT INTERNATIONAL,PLYWOOD,22-08-2022,3,0,3,48436
TALENT INTERNATIONAL,PLYWOOD,29-11-2022,2,0,2,32000
TALENT INTERNATIONAL,PLYWOOD,27-05-2022,2,0,2,30000
TALENT INTERNATIONAL,PLYWOOD,30-05-2022,2,0,2,32702
TALENT INTERNATIONAL,PLYWOOD,08-06-2022,2,0,2,32402
TALENT INTERNATIONAL,PLYWOOD,20-06-2022,3,0,3,46185
TALENT INTERNATIONAL,PLYWOOD,16-02-2022,1,0,1,14817
TALENT INTERNATIONAL,PLYWOOD,03-03-2022,1,0,1,15918
TALENT INTERNATIONAL,PLYWOOD,28-03-2022,1,0,1,16761
TALENT INTERNATIONAL,PLYWOOD,03-04-2022,2,0,2,29365
TALENT INTERNATIONAL,PLYWOOD,14-04-2022,5,0,5,76000
TALENT INTERNATIONAL,PLYWOOD,19-04-2022,5,0,5,78095
TALENT INTERNATIONAL,PLYWOOD,19-07-2022,3,0,3,48538
TALENT INTERNATIONAL,PLYWOOD,14-06-2022,1,0,1,16000
TALENT INTERNATIONAL,PLYWOOD,08-08-2022,4,0,4,62597
TALENT INTERNATIONAL,PLYWOOD,16-01-2022,1,0,1,13783
TALENT INTERNATIONAL,PLYWOOD,01-07-2022,1,0,1,14938
TALENT INTERNATIONAL,PLYWOOD,10-07-2022,2,0,2,32160
TALENT INTERNATIONAL,PLYWOOD,25-07-2022,3,0,3,43756
TALENT INTERNATIONAL,PLYWOOD,30-08-2022,1,0,1,14979
TALENT INTERNATIONAL,PLYWOOD,19-12-2022,1,0,1,15403
TALENT INTERNATIONAL,PLYWOOD,05-12-2022,1,0,1,16000
TALENT INTERNATIONAL,PLYWOOD,15-12-2022,4,0,4,60896
TALENT INTERNATIONAL,PLYWOOD,19-12-2022,3,0,3,48565
TALENT INTERNATIONAL,PLYWOOD,29-06-2022,2,0,2,33390
TALENT INTERNATIONAL,PLYWOOD,29-12-2022,2,0,2,32653
TALENT INTERNATIONAL,PLYWOOD,10-05-2022,1,0,1,14811
TALENT INTERNATIONAL,PLYWOOD,12-05-2022,0,1,2,26749
TALENT INTERNATIONAL,PLYWOOD,22-05-2022,0,1,2,27090
TALENT INTERNATIONAL,PLYWOOD,20-02-2022,0,6,12,158180
TALENT INTERNATIONAL,PLYWOOD,01-03-2022,0,3,6,81270
TALENT INTERNATIONAL,PLYWOOD,06-06-2022,0,2,4,53830
TALENT INTERNATIONAL,PLYWOOD,17-06-2022,0,2,4,53830
TALENT INTERNATIONAL,PLYWOOD,10-07-2022,0,1,2,26740
TALENT INTERNATIONAL,PLYWOOD,07-08-2022,0,2,4,54180
TALENT INTERNATIONAL,PLYWOOD,11-09-2022,0,2,4,55608
TALENT INTERNATIONAL,PLYWOOD,12-05-2022,1,0,1,16536
TALENT INTERNATIONAL,PLYWOOD,21-01-2022,5,0,5,78055
TALENT INTERNATIONAL,PLYWOOD,25-01-2022,4,0,4,64000
TALENT INTERNATIONAL,PLYWOOD,15-02-2022,1,0,1,15498
TALENT INTERNATIONAL,PLYWOOD,25-02-2022,1,0,1,15498
TALENT INTERNATIONAL,PLYWOOD,11-10-2022,1,0,1,15000
TALENT INTERNATIONAL,PLYWOOD,04-05-2022,2,0,2,30133
TALENT INTERNATIONAL,PLYWOOD,27-05-2022,1,0,1,15133
TALENT INTERNATIONAL,PLYWOOD,30-05-2022,1,0,1,15498
TALENT INTERNATIONAL,PLYWOOD,12-07-2022,1,0,1,15936
TALENT INTERNATIONAL,PLYWOOD,03-09-2022,1,0,1,16171
TALENT INTERNATIONAL,PLYWOOD,07-09-2022,1,0,1,15948
TALENT INTERNATIONAL,PLYWOOD,20-09-2022,1,0,1,15498
TALENT INTERNATIONAL,PLYWOOD,18-10-2022,1,0,1,15948
TALENT INTERNATIONAL,PLYWOOD,30-01-2022,2,0,2,30816
TALENT INTERNATIONAL,PLYWOOD,17-08-2022,1,0,1,10477
TALENT INTERNATIONAL,PLYWOOD,15-11-2022,1,0,1,15498
TALENT INTERNATIONAL,PLYWOOD,21-11-2022,1,0,1,16000
TALENT INTERNATIONAL,PLYWOOD,29-12-2022,1,0,1,16056
TALENT INTERNATIONAL,PLYWOOD,06-12-2022,1,0,1,15498
TALENT INTERNATIONAL,PLYWOOD,01-12-2022,0,4,8,109060
TALENT INTERNATIONAL,PLYWOOD,28-03-2022,0,1,2,27020
TALENT INTERNATIONAL,PLYWOOD,14-04-2022,0,3,6,81060
TALENT INTERNATIONAL,PLYWOOD,04-05-2022,0,4,8,108080
TALENT INTERNATIONAL,PLYWOOD,21-09-2022,0,3,6,81971
TALENT INTERNATIONAL,PLYWOOD,21-10-2022,0,2,4,54530
TALENT INTERNATIONAL,PLYWOOD,01-01-2022,0,1,2,27510
TALENT INTERNATIONAL,PLYWOOD,02-02-2022,0,1,2,27020
TALENT INTERNATIONAL,PLYWOOD,24-08-2022,0,1,2,27441
TALENT INTERNATIONAL,PLYWOOD,07-03-2022,2,0,2,28359
TALENT INTERNATIONAL,PLYWOOD,14-04-2022,3,0,3,47000
TALENT INTERNATIONAL,PLYWOOD,23-08-2022,1,0,1,16000
TALENT INTERNATIONAL,PLYWOOD,23-01-2022,1,0,1,15611
TALENT INTERNATIONAL,PLYWOOD,28-03-2022,1,0,1,15390
TALENT INTERNATIONAL,PLYWOOD,03-04-2022,1,0,1,14980
TALENT INTERNATIONAL,PLYWOOD,19-04-2022,5,0,5,81694
TALENT INTERNATIONAL,PLYWOOD,30-05-2022,2,0,2,32124
TALENT INTERNATIONAL,PLYWOOD,10-06-2022,2,0,2,31424
TALENT INTERNATIONAL,PLYWOOD,01-07-2022,3,0,3,47474
TALENT INTERNATIONAL,PLYWOOD,10-07-2022,1,0,1,16097
TALENT INTERNATIONAL,PLYWOOD,18-07-2022,2,0,2,31886
TALENT INTERNATIONAL,PLYWOOD,25-07-2022,2,0,2,32412
TALENT INTERNATIONAL,PLYWOOD,17-08-2022,2,0,2,30420
TALENT INTERNATIONAL,PLYWOOD,22-08-2022,2,0,2,29450
TALENT INTERNATIONAL,PLYWOOD,30-08-2022,2,0,2,30187
TALENT INTERNATIONAL,PLYWOOD,05-09-2022,3,0,3,46233
TALENT INTERNATIONAL,PLYWOOD,12-09-2022,2,0,2,32823
TALENT INTERNATIONAL,PLYWOOD,19-09-2022,3,0,3,46954
TALENT INTERNATIONAL,PLYWOOD,29-09-2022,2,0,2,30208
TALENT INTERNATIONAL,PLYWOOD,11-10-2022,1,0,1,13569
TALENT INTERNATIONAL,PLYWOOD,15-12-2022,1,0,1,15224
TALENT INTERNATIONAL,PLYWOOD,14-06-2022,3,0,3,46000
TALENT INTERNATIONAL,PLYWOOD,17-08-2022,2,0,2,32305
TALENT INTERNATIONAL,PLYWOOD,13-07-2022,4,0,4,62107
TALENT INTERNATIONAL,PLYWOOD,21-04-2022,5,0,5,79636
TALENT INTERNATIONAL,PLYWOOD,29-04-2022,3,0,3,47592
TALENT INTERNATIONAL,PLYWOOD,27-02-2022,4,0,4,59429
TALENT INTERNATIONAL,PLYWOOD,03-04-2022,1,0,1,16194
TALENT INTERNATIONAL,PLYWOOD,06-04-2022,1,0,1,16515
TALENT INTERNATIONAL,PLYWOOD,03-05-2022,1,0,1,16105
TALENT INTERNATIONAL,PLYWOOD,12-05-2022,6,0,6,96742
TALENT INTERNATIONAL,PLYWOOD,18-05-2022,2,0,2,32710
TALENT INTERNATIONAL,PLYWOOD,04-06-2022,2,0,2,32532
TALENT INTERNATIONAL,PLYWOOD,05-07-2022,6,0,6,96014
TALENT INTERNATIONAL,PLYWOOD,19-07-2022,2,0,2,31664
TALENT INTERNATIONAL,PLYWOOD,03-08-2022,7,0,7,109887
TALENT INTERNATIONAL,PLYWOOD,09-08-2022,7,0,7,105433
TALENT INTERNATIONAL,PLYWOOD,25-08-2022,2,0,2,32070
TALENT INTERNATIONAL,PLYWOOD,07-09-2022,3,0,3,46712
TALENT INTERNATIONAL,PLYWOOD,17-09-2022,3,0,3,45627
TALENT INTERNATIONAL,PLYWOOD,21-09-2022,3,0,3,47367
TALENT INTERNATIONAL,PLYWOOD,01-10-2022,5,0,5,80912
TALENT INTERNATIONAL,PLYWOOD,08-10-2022,5,0,5,82276
TALENT INTERNATIONAL,PLYWOOD,29-10-2022,5,0,5,179494
TALENT INTERNATIONAL,PLYWOOD,05-11-2022,3,0,3,47580
TALENT INTERNATIONAL,PLYWOOD,12-11-2022,5,0,5,81472
TALENT INTERNATIONAL,PLYWOOD,19-11-2022,4,0,4,71598
TALENT INTERNATIONAL,PLYWOOD,04-12-2022,3,0,3,51620
TALENT INTERNATIONAL,PLYWOOD,10-12-2022,0,1,2,15739
TALENT INTERNATIONAL,PLYWOOD,17-12-2022,4,0,4,61133
TALENT INTERNATIONAL,PLYWOOD,31-12-2022,3,0,3,46833
TALENT INTERNATIONAL,PLYWOOD,09-02-2022,5,0,5,76947
TALENT INTERNATIONAL,PLYWOOD,09-03-2022,4,0,4,58930
TALENT INTERNATIONAL,PLYWOOD,11-03-2022,2,0,2,32262
TALENT INTERNATIONAL,PLYWOOD,19-03-2022,4,0,4,64084
TALENT INTERNATIONAL,PLYWOOD,21-03-2022,2,0,2,32326
TALENT INTERNATIONAL,PLYWOOD,28-03-2022,1,0,1,15216
TALENT INTERNATIONAL,PLYWOOD,18-05-2022,2,0,2,33176
TALENT INTERNATIONAL,PLYWOOD,30-05-2022,8,0,8,126685
TALENT INTERNATIONAL,PLYWOOD,24-06-2022,2,0,2,31511
TALENT INTERNATIONAL,PLYWOOD,26-06-2022,2,0,2,31377
TALENT INTERNATIONAL,PLYWOOD,05-07-2022,2,0,2,32000
TALENT INTERNATIONAL,PLYWOOD,18-07-2022,2,0,2,32000
TALENT INTERNATIONAL,PLYWOOD,25-07-2022,3,0,3,47211
TALENT INTERNATIONAL,PLYWOOD,30-08-2022,3,0,3,45713
TALENT INTERNATIONAL,PLYWOOD,12-09-2022,4,0,4,64035
TALENT INTERNATIONAL,PLYWOOD,01-10-2022,6,0,6,96390
TALENT INTERNATIONAL,PLYWOOD,16-10-2022,5,0,5,80177
TALENT INTERNATIONAL,PLYWOOD,21-10-2022,4,0,4,62843
TALENT INTERNATIONAL,PLYWOOD,26-11-2022,6,0,6,100235
TALENT INTERNATIONAL,PLYWOOD,21-12-2022,1,0,1,16050
TALENT INTERNATIONAL,PLYWOOD,31-12-2022,3,0,3,46250
TALENT INTERNATIONAL,PLYWOOD,24-08-2022,2,0,2,31294
TOTAL                                   ,                              ,          ,332,44,420,6508815
TALI CORPORATES P. LTD,AYURVEDIC MEDICINES,29-09-2022,0,0,0,2270
TALI CORPORATES P. LTD,AYURVEDIC PRODUCTS,08-06-2022,0,0,0,550
TALI CORPORATES P. LTD,BRUSHES,25-10-2022,1,0,1,7760
TALI CORPORATES P. LTD,CHEMICALS,19-04-2022,1,0,1,8920
TALI CORPORATES P. LTD,CHEMICALS,16-01-2022,0,0,0,1680
TALI CORPORATES P. LTD,CHEMICALS,30-05-2022,0,0,0,2160
TALI CORPORATES P. LTD,COSMETIC ITEMS,29-12-2022,1,0,1,9075
TALI CORPORATES P. LTD,COSMETIC ITEMS,19-12-2022,0,0,0,2120
TALI CORPORATES P. LTD,FISH HOOKS,05-07-2022,1,0,1,8360
TALI CORPORATES P. LTD,HOUSEHOLD ARTICLES,20-06-2022,1,0,1,12880
TALI CORPORATES P. LTD,SHAMPOO,21-07-2022,1,0,1,8560
TALI CORPORATES P. LTD,SHAMPOO,29-11-2022,0,0,0,2290
TALI CORPORATES P. LTD,SHAMPOO,03-09-2022,1,0,1,11040
TALI CORPORATES P. LTD,SHAMPOO,10-11-2022,0,1,2,21590
TALI CORPORATES P. LTD,STATIONARY,09-04-2022,1,0,1,11400
TOTAL                                   ,                              ,          ,8,1,10,110655
TALI ENTERPRISES,PERFUME,19-03-2022,1,0,1,2100
TOTAL                                   ,                              ,          ,1,0,1,2100
TAMILNADU NEWSPRINT & PAPERS LTD.,PAPER,02-07-2022,0,7,14,196884
TAMILNADU NEWSPRINT & PAPERS LTD.,PAPER,10-01-2022,0,15,30,396396
TAMILNADU NEWSPRINT & PAPERS LTD.,PAPER,09-02-2022,0,3,6,60294
TAMILNADU NEWSPRINT & PAPERS LTD.,PAPER,26-06-2022,0,8,16,217190
