Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
A.M.FISHERIES,FROZEN MARINE FOODS,25-08-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,11-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,01-11-2022,0,1,2,27300
A.M.FISHERIES,FROZEN MARINE FOODS,25-08-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,03-09-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,07-09-2022,0,3,6,78000
A.M.FISHERIES,FROZEN MARINE FOODS,12-09-2022,0,3,6,78000
A.M.FISHERIES,FROZEN MARINE FOODS,24-09-2022,0,2,4,52000
A.M.FISHERIES,FROZEN MARINE FOODS,01-10-2022,0,4,8,106600
A.M.FISHERIES,FROZEN MARINE FOODS,05-10-2022,0,2,4,52000
A.M.FISHERIES,FROZEN MARINE FOODS,19-11-2022,0,1,2,28000
A.M.FISHERIES,FROZEN MARINE FOODS,10-12-2022,0,2,4,52000
A.M.FISHERIES,FROZEN MARINE FOODS,29-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,30-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,02-05-2022,0,1,2,24500
A.M.FISHERIES,FROZEN MARINE FOODS,24-06-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,05-09-2022,0,1,2,21000
A.M.FISHERIES,FROZEN MARINE FOODS,16-02-2022,0,1,2,24500
A.M.FISHERIES,FROZEN MARINE FOODS,09-03-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,04-06-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,08-06-2022,0,1,2,24500
A.M.FISHERIES,FROZEN MARINE FOODS,01-08-2022,0,1,2,24500
A.M.FISHERIES,FROZEN MARINE FOODS,16-01-2022,0,1,2,24500
A.M.FISHERIES,FROZEN MARINE FOODS,28-03-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,14-04-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,27-04-2022,0,1,2,24500
A.M.FISHERIES,FROZEN MARINE FOODS,17-12-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,18-07-2022,0,1,2,21000
A.M.FISHERIES,FROZEN MARINE FOODS,14-12-2022,0,1,2,24518
A.M.FISHERIES,FROZEN MARINE FOODS,12-02-2022,0,1,2,24531
A.M.FISHERIES,FROZEN MARINE FOODS,02-01-2022,0,1,2,24518
A.M.FISHERIES,FROZEN MARINE FOODS,30-08-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,09-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,20-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,10-05-2022,0,1,2,25000
A.M.FISHERIES,FROZEN MARINE FOODS,12-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,06-04-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,01-08-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,25-08-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,30-08-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,06-11-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,20-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,23-06-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,31-12-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,23-03-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,11-06-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,23-07-2022,0,2,4,48000
A.M.FISHERIES,FROZEN MARINE FOODS,01-08-2022,0,1,2,24512
A.M.FISHERIES,FROZEN MARINE FOODS,28-12-2022,0,1,2,24517
A.M.FISHERIES,FROZEN MARINE FOODS,14-04-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,08-06-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,15-06-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,19-08-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,24-08-2022,0,1,2,24000
A.M.FISHERIES,FROZEN MARINE FOODS,24-10-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,18-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,05-04-2022,0,2,4,52000
A.M.FISHERIES,FROZEN MARINE FOODS,21-03-2022,0,1,2,26950
A.M.FISHERIES,FROZEN MARINE FOODS,12-04-2022,0,2,4,53900
A.M.FISHERIES,FROZEN MARINE FOODS,08-11-2022,0,1,2,26000
A.M.FISHERIES,FROZEN MARINE FOODS,27-04-2022,0,1,2,26950
