,Exporter,Product,SailDate,20',40',TEUS,QTY.(KGS)
22641,RUBFILA INTERNATIONAL LTD.,LATEX RUBBER THREAD,2022-05-16,0,1,2,24861
22642,BIOGREEN FOOD STUFF,FOOD STUFFS,2022-05-16,0,0,0,300
22643,OLIVE FASHIONS,COTTON GOODS,2022-05-16,0,0,0,252
22644,GOLDEN COIR TUFTS,COIR MATS,2022-05-16,0,1,2,19065
22645,MATHESON BOSANQUET ENTERPRISES LTD.,TEA,2022-05-16,1,0,1,10200
22646,G.P.R.CLOTHING COMPANY,COTTON GOODS,2022-05-16,0,1,2,13089
22647,G.P.R.CLOTHING COMPANY,COTTON GOODS,2022-05-16,0,0,0,948
22648,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-05-16,0,0,0,156
22649,ABN TRADERS,RICE,2022-05-16,1,0,1,12000
22650,SAINT GOBAIN INDIA P.LTD.,REFRACTORY MATERIALS,2022-05-16,0,3,6,49744
22651,AVT NATURAL PRODUCTS LTD.,TEA,2022-05-16,1,0,1,10140
22652,AJMI FLOUR MILL(I)P.LTD.,FOOD STUFFS,2022-05-16,2,0,2,35000
22653,CHERUSSERIKALAM GROUP,RUBBER MATS,2022-05-16,1,0,1,21750
22654,ANSELL INDIA PRODUCTS,SURGICAL GLOVES,2022-05-16,1,0,1,3976
22655,ALLANASONS LTD.,COFFEE,2022-05-16,3,0,3,57600
22656,RAJSUJEE INTERNATIONAL,COTTON GOODS,2022-05-16,0,0,0,877
22657,CHOICE TRADING CORPN. LTD.,FROZEN SHRIMPS,2022-05-16,0,8,16,152000
22658,MOOLANS EXPORTS(I)P.LTD.,CURRY POWDER,2022-05-16,9,0,9,90398
22659,POOJA TRADING COMPANY,FOOD STUFFS,2022-05-16,1,0,1,16000
22660,UNIPOWER TRANSFORMERS,INVERTOR,2022-05-16,0,3,6,67134
22661,UNIGREEN FOODS(I)P.LTD.,MAIDA,2022-05-16,2,0,2,44000
22662,DOTS CARGO INDIA,COTTON GARMENTS,2022-05-16,0,1,2,16000
22663,TRIWIN EXPORTS,COTTON GOODS,2022-05-16,1,0,1,3639
22664,TATA CONSUMER PRODUCTS LTD.,TEA,2022-05-16,1,1,3,14127
22665,TATA CONSUMER PRODUCTS LTD.,TEA,2022-05-16,0,1,2,17937
22666,UNIGREEN FOODS(I)P.LTD.,RICE,2022-05-16,2,0,2,50000
22667,ARIHANT ENTERPRISES,PLYWOOD,2022-05-16,1,0,1,14320
22668,PRESTIGE BUSINESS GROUP,PICKLES,2022-05-16,1,0,1,15325
22669,APOLLO TYRES LTD.,TYRES/TUBES,2022-05-16,0,1,2,20461
22670,RESOURZBURG,COTTON GOODS,2022-05-16,0,1,2,10926
22671,B.S. APPARELS,COTTON GOODS,2022-05-16,0,0,0,1971
22672,GREENFIELD INDUSTRIES,COTTON GOODS,2022-05-16,0,1,2,3923
22673,SKYTRIX CARGO,COTTON GOODS,2022-05-16,1,0,1,5081
22674,OLAM AGRO INDIA LTD.,CHILLI POWDER,2022-05-16,0,3,6,75000
22675,K.L.ABDUL SATHAR IMPEX P.LTD.,PLYWOOD,2022-05-16,0,2,4,55540
22676,SFO TECHNOLOGIES DIGITAL P.LTD.,CABLE ACCESSORIES,2022-05-16,0,1,2,410
22677,GREENFIELD INDUSTRIES,COTTON GOODS,2022-05-16,1,0,1,2868
22678,LYKIS LTD.,COCONUT OIL,2022-05-16,1,0,1,25000
22679,EASTERN CONDIMENTS P.LTD.,FOOD STUFFS,2022-05-16,2,0,2,28740
22680,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-05-16,0,0,0,416
22681,BIOWIN AGRO RESEARCH,COFFEE,2022-05-16,1,0,1,19200
22682,THOMAS PUNNEN&COMPANY,GENERAL CARGO,2022-05-16,0,0,0,637
22683,BISMI TRADING COMPANY,COCONUTS,2022-05-16,1,0,1,12757
22684,STAR EXPORTS,COTTON GOODS,2022-05-16,0,1,2,20350
22685,CORAL EXPORTS,FROZEN YELLOW TUNA,2022-05-16,0,1,2,27000
22686,AMS AGRO INDUSTRIES,COCONUT OIL,2022-05-16,1,0,1,16000
22687,KUNNATHAN WOOD PRODUCTS,PLYWOOD,2022-05-16,0,1,2,27360
22688,TRAVANCORE MATS & MATTING CO.,COIR MATS,2022-05-16,0,1,2,20056
22689,LYKIS LTD.,COCONUT OIL,2022-05-16,1,0,1,25000
22690,COIR YARN TEX,COIR GEO FABRICS,2022-05-16,0,1,2,6979
22691,COIR HOME,COIR GEO FABRICS,2022-05-16,0,2,4,14120
22692,RICE AND FLAVOURS LLP,RICE POWDER,2022-05-16,1,0,1,17912
22693,BRAHMINS FOOD INDIA P.LTD.,FOOD STUFFS,2022-05-16,1,0,1,10009
22694,DIAMOND ROLLER FLOUR MILLS P.LTD.,MAIDA,2022-05-16,5,0,5,110000
22695,BROTHERS COIR MILLS,COIR GEO FABRICS,2022-05-16,0,1,2,8320
22696,NISHANT EXPORT,CHILLIES,2022-05-16,0,1,2,19000
22697,MAF CLOTHING P.LTD.,COTTON GOODS,2022-05-16,0,0,0,480
22698,GENERAL COMMODITIES LTD.,TURMERIC,2022-05-16,1,0,1,18000
22699,APOLLO TYRES LTD.,METAL BOX,2022-05-16,0,2,4,50344
22700,AANCHAL ENTERPRISES,PLYWOOD,2022-05-16,5,0,5,75000
22701,NISHANT EXPORT,CUMIN SEEDS,2022-05-16,1,0,1,15000
22702,CORNATION TILES&CONCRETE,BUILDING MATERIALS,2022-05-16,0,1,2,27000
22703,EASTERN CONDIMENTS P.LTD.,CURRY POWDER,2022-05-16,7,0,7,61708
22704,METRO PLUS,COTTON MASK,2022-05-16,0,0,0,41
22705,LWIN EXPORTS,COTTON GOODS,2022-05-16,0,0,0,1495
22706,MANGALA MARINE EXIM INDIA P.LTD.,FROZEN SHRIMPS,2022-05-16,0,1,2,21000
22707,LOURDE MATHA CASHEW INDUSTRIES,CASHEW KERNELS,2022-05-16,1,0,1,15000
22708,AMENSCO MEDICAL TECHNOLOGIES,MEDICAL EQUIPMENTS,2022-05-16,0,0,0,13400
22709,ALLEPPEY CO. LTD.,COIR MATS,2022-05-16,2,0,2,21924
22710,OXO EXPORTS,COTTON GOODS,2022-05-16,0,1,2,14081
22711,K&T AGRO MILLS P.LTD.,RICE,2022-05-16,3,0,3,78000
22712,FAIR EXPORTS INDIA P.LTD.,COTTON GARMENTS,2022-05-16,1,0,1,3809
22713,EASTERN CONDIMENTS P.LTD.,CURRY POWDER,2022-05-16,1,0,1,9642
22714,LEETHA PACK (P) LTD.,PAPER CUP,2022-05-16,0,2,4,14056
22715,POOPPALLY COIR MILLS,POLYPROPYLENE MATS,2022-05-16,1,0,1,20220
22716,INDIAN PRODUCTS LTD.,SPICES,2022-05-16,0,2,4,34827
22717,EASTERN CONDIMENTS P.LTD.,COCONUT OIL,2022-05-16,1,0,1,15780
22718,TECHNO SPORTSWEAR P.LTD.,SPORTS ARTICLES,2022-05-16,0,1,2,13357
22719,CANTY GARMENTS,COTTON GOODS,2022-05-16,0,0,0,3846
22720,MRF LTD.,TYRES/TUBES,2022-05-16,0,2,4,31075
22721,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-05-16,0,2,4,19513
22722,AMACO IMPEX P.LTD.,FOOD STUFFS,2022-05-16,1,0,1,20578
22723,PARAYIL FOOD PRODUCTS P.LTD.,FROZEN PAROTTA,2022-05-16,1,0,1,9538
22724,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-05-16,0,0,0,1422
22725,SWISS SINGAPORE INDIA P.LTD.,TEA,2022-05-16,0,1,2,25691
22726,OLAM AGRO INDIA LTD.,TURMERIC,2022-05-16,1,0,1,5000
22727,DESIRE KOCHI,COTTON GOODS,2022-05-16,1,0,1,16488
22728,LUCO EXIM,COTTON GOODS,2022-05-16,0,0,0,29
22729,MANGALA MARINE EXIM INDIA P.LTD.,FROZEN SHRIMPS,2022-05-16,0,1,2,21000
22730,MANGALA MARINE EXIM INDIA P.LTD.,FROZEN MARINE FOODS,2022-05-16,0,1,2,24000
22731,LYNNS EXPORTS & IMPORTS,IRON CASTINGS,2022-05-16,1,0,1,17429
22732,GOLDEN STAR EXPORTS,COTTON GOODS,2022-05-16,0,1,2,12730
22733,CLASSIC COIR FACTORY,COIR MATS,2022-05-16,0,1,2,16264
22734,AQUA MARINE EXPORTS,FROZEN MARINE FOODS,2022-05-16,0,1,2,26000
22735,EXCELLENT CASHEW CO.,CASHEW KERNELS,2022-05-16,1,0,1,15000
22736,SINSAN EXPORTS,COCONUTS,2022-05-16,0,1,2,28400
22737,MAF CLOTHING P.LTD.,COTTON GOODS,2022-05-16,0,0,0,3663
22738,INDIAN PRODUCTS LTD.,SPICES,2022-05-16,0,2,4,36032
22739,PANDIKKAD TRADERS,RICE,2022-05-16,6,0,6,143500
22740,HARI OM TRADERS,COCONUTS,2022-05-16,0,1,2,28160
22741,CML BIOTECH P.LTD.,BLOOD BAG,2022-05-16,0,1,2,13199
22742,CHITTOOR AGRO PACK,FOOD STUFFS,2022-05-16,0,2,4,41033
22743,GRACIOUS COFFEE P.LTD.,COFFEE,2022-05-16,2,0,2,38400
22744,TATA CONSUMER PRODUCTS LTD.,TEA,2022-05-16,0,2,4,22490
22745,MANGALA MARINE EXIM INDIA P.LTD.,FROZEN SHRIMPS,2022-05-16,0,1,2,18000
22746,G NXT POWER CORPORATION,AUTOMOBILES PARTS,2022-05-16,0,0,0,1604
22747,SSK EXPORT LIMITED,TEA,2022-05-16,0,2,4,47598
22748,APTIV CONNECTION SYSTEMS INDIA P.LTD.,CONNECTORS,2022-05-16,0,0,0,141
22749,ELGI EQUIPMENTS LTD.,AIR COMPRESSORS,2022-05-16,2,0,2,8828
22750,ATLANTIC CARE CHEMICALS,DETERGENT POWDER,2022-05-16,1,0,1,17336
22751,MATS FOUR,COIR MATS,2022-05-16,0,1,2,25218
22752,HEIPLOEG SEAFOOD INDIA P.LTD.,FROZEN MARINE FOODS,2022-05-16,0,1,2,25000
22753,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-05-16,0,1,2,26987
22754,TATA CONSUMER PRODUCTS LTD.,TEA,2022-05-16,0,1,2,9205
22755,TERUMO PENPOL LTD.,BLOOD BAG,2022-05-16,0,1,2,14928
22756,SAMEX INDIA P.LTD.,CARDAMOM,2022-05-16,0,1,2,21292
22757,GENUINE AGRO SPICES,NUTMEG,2022-05-16,1,0,1,13000
22758,ACCELERATED FREEZE DRYING CO LTD.,FROZEN SHRIMPS,2022-05-16,0,1,2,17000
22759,KCM APPLIANCES P.LTD.,HOME APPLIANCES,2022-05-16,0,1,2,5060
22760,BARAKA OVERSEAS TRADERS,FROZEN MARINE FOODS,2022-05-16,0,1,2,25000
22761,NISHANT EXPORT,PEPPER,2022-05-16,0,1,2,21000
22762,INTERGROW BRANDS P.LTD.,FOOD STUFFS,2022-05-16,3,0,3,35964
22763,KLF NIRMAL INDUSTRIES(P)LTD.,COCONUT OIL,2022-05-16,1,0,1,11379
22764,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-05-16,0,0,0,784
22765,AKAY NATURAL INGREDIENTS,OLEORESINS OF SPICES,2022-05-16,0,0,0,345
22766,VEEKESY ELASTOMERS P.LTD.,CHAPPALS,2022-05-16,0,1,2,7630
22767,BIOGREEN FOOD STUFF,FOOD STUFFS,2022-05-16,0,1,2,20878
22768,YUSUF MALABAR TRADING LLP,EVENT MANAGEMENT PRODUCTS,2022-05-16,1,0,1,3772
22769,R.R.INTERNATIONAL,COTTON YARN,2022-05-16,0,2,4,36007
22770,KNIT HOME GARMENTS,COTTON GOODS,2022-05-16,0,0,0,850
22771,ANUGRAHA VALVE CASTINGS LTD.,VALVES,2022-05-16,0,0,0,690
22772,SRI RANGANATHAR INDUSTRIES,VALVES,2022-05-16,0,0,0,346
22773,NESTLE INDIA LTD.,INSTANT TEA,2022-05-16,1,0,1,9845
22774,FAIR EXPORTS INDIA P.LTD.,BANANA,2022-05-16,0,1,2,15070
22775,VISWAA FASHIONS,COTTON GOODS,2022-05-16,0,0,0,311
22776,GEO SEAFOODS,FROZEN SHRIMPS,2022-05-16,0,1,2,19000
22777,GREENFIELD INDUSTRIES,COTTON GOODS,2022-05-16,0,0,0,11
22778,AMAZING RUBBER PRODUCTS P. LTD.,LATEX GLOVES,2022-05-16,0,2,4,16818
22779,KNIT HOME GARMENTS,COTTON GOODS,2022-05-16,0,0,0,22
22780,TRAVANCORE MATS & MATTING CO.,JUTE MATTING,2022-05-16,0,2,4,23693
22781,SEASON COIR EXPORTS,COCONUTS,2022-05-16,0,1,2,28487
22782,CAPITHAN EXPORTING CO.,FROZEN BAIGAI,2022-05-16,0,1,2,26000
22783,MALA SONS,PLYWOOD,2022-05-16,0,1,2,27855
22784,TRAVANCORE COCOTUFT P.LTD.,COIR MATS,2022-05-16,0,1,2,15806
22785,UNITUM INTERNATIONAL EXPORTERS,PLYWOOD,2022-05-16,3,0,3,48370
22786,SALZER ELECTRONICS LTD.,SWITCHES,2022-05-16,1,0,1,7799
22787,FIBRE WORLD,COIR MATS,2022-05-16,0,9,18,159120
22788,J.K.INTERNATIONAL,COTTON GOODS,2022-05-16,1,0,1,5703
22789,SABA IMPEX,COCONUTS,2022-05-16,2,0,2,28125
22790,BAMS CONDIMENTS IMPEX (P) LTD.,RICE,2022-05-16,1,0,1,24000
22791,MAMPILLY PLYWOOD INDUSTRIES,PLYWOOD,2022-05-16,9,0,9,155700
22792,BRAHMINS FOOD INDIA P.LTD.,FOOD STUFFS,2022-05-16,1,0,1,13260
22793,BROTHERS COIR MILLS,COIR GEO FABRICS,2022-05-16,0,1,2,13760
22794,PLANT LIPIDS  LTD.,OLEORESINS OF SPICES,2022-05-16,0,0,0,312
22795,VALOOKKARAN MODERN RICE MILL,RICE,2022-05-16,1,0,1,26000
22796,BAMS CONDIMENTS IMPEX (P) LTD.,RICE,2022-05-16,1,0,1,24000
22797,MAS ENTERPRISES LTD.,CARDAMOM,2022-05-16,1,0,1,5000
22798,SYNTHITE INDUSTRIES LTD.,OLEORESINS OF SPICES,2022-05-16,0,0,0,40
22799,NILAMEL EXPORTS,FOOD STUFFS,2022-05-16,0,1,2,16855
22800,TRAVANCORE COCOTUFT P.LTD.,COIR MATS,2022-05-16,0,1,2,17756
22801,DIAMOND ROLLER FLOUR MILLS P.LTD.,MAIDA,2022-05-16,12,0,12,264960
22802,KERALA HOME FOOD STUFF EXPORT,RICE,2022-05-16,1,0,1,24000
22803,SAMEX INDIA P.LTD.,CARDAMOM,2022-05-16,1,0,1,9540
22804,ASTRON CONCRETE PRODUCTS,BUILDING MATERIALS,2022-05-16,1,0,1,25950
22805,TASTY NUT INDUSTRIES,CASHEW KERNELS,2022-05-16,1,0,1,15000
22806,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-05-16,0,1,2,14112
22807,GLOBAL AGENCIES,AUTOMOBILES PARTS,2022-05-16,1,0,1,3150
22808,AKAY NATURAL INGREDIENTS,OLEORESINS OF SPICES,2022-05-16,0,0,0,345
22809,FRANCIS KOTTACKAL EXIM(P)LTD.,RICE,2022-05-16,2,0,2,48000
22810,CHERUKATTU INDUSTRIES,FROZEN SHRIMPS,2022-05-16,1,0,1,15000
22811,PALM FIBRE(INDIA)P.LTD.,COIR MATS,2022-05-16,0,1,2,13196
22812,PEACOCK FAASHIONS,COTTON GOODS,2022-05-16,0,0,0,4863
22813,KARTHIKAI TEXTILE MILLS,COTTON GOODS,2022-05-16,0,2,4,10319
22814,GLOBAL EXPORTERS,COCONUTS,2022-05-16,0,1,2,28650
22815,PENTADILMUN P.LTD.,FOOD STUFFS,2022-05-16,1,0,1,19000
22816,RICHIE TREE,COCONUTS,2022-05-16,0,1,2,28600
22817,KARTHIKAI TEXTILE MILLS,COTTON GOODS,2022-05-16,0,1,2,9501
22818,EASTERN CONDIMENTS P.LTD.,CURRY POWDER,2022-05-16,2,0,2,21512
22819,ESWARI GLOBAL METAL INDUSTRIES P.LTD.,LEAD INGOTS,2022-05-16,3,0,3,72000
22820,ECOM GILL COFFEE TRADING P.LTD.,COFFEE,2022-05-16,2,0,2,38400
22821,TASTY NUT INDUSTRIES,CASHEW KERNELS,2022-05-16,1,0,1,15000
22822,PRIMUS GLOVES P.LTD.,LATEX GLOVES,2022-05-16,0,1,2,5616
22823,N.C. JOHN & SONS LTD.,COIR MATS,2022-05-18,0,1,2,9987
22824,SUDHAN SPINNING MILLS LTD.,COTTON YARN,2022-05-18,0,4,8,78066
22825,TRAVANCORE COCOTUFT P.LTD.,COIR MATS,2022-05-18,0,1,2,16788
22826,PROFAND VAYALAT MARINE EXPORTS,FROZEN CUTTLEFISH,2022-05-18,0,1,2,26000
22827,J.B.C. INTERNATIONAL,COIR MATS,2022-05-18,0,1,2,21600
22828,K.P.R. MILL LTD.,COTTON GOODS,2022-05-18,0,0,0,3113
22829,LEETHA INDUSTRIES,PAPER CUP,2022-05-18,0,1,2,6922
22830,SAKTHI INFRA TEX PVT LTD,COTTON GOODS,2022-05-18,0,0,0,366
22831,PROFAND VAYALAT MARINE EXPORTS,FROZEN SQUID,2022-05-18,0,1,2,21000
22832,R.L. KHANNA & CO. (OVERSEAS),COIR MATS,2022-05-18,0,1,2,19962
22833,K.P.R. MILL LTD.,COTTON GOODS,2022-05-18,0,0,0,589
22834,PALLAVA TEXTILES P.LTD.,COTTON YARN,2022-05-18,0,1,2,22402
22835,LAKSHMI NARASIMHA TEXTILES LTD.,COTTON YARN,2022-05-18,0,1,2,22136
22836,TRAVANCORE MATS & MATTING CO.,COIR MATS,2022-05-18,0,1,2,15343
22837,RUBFILA INTERNATIONAL LTD.,LATEX RUBBER THREAD,2022-05-18,1,0,1,10312
22838,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-05-18,1,0,1,21097
22839,BIO TREAT LAB,CHEMICALS,2022-05-18,2,0,2,44000
22840,VIKAS RUBBERS,RUBBER MATS,2022-05-18,2,0,2,40954
22841,ASSOCIATED RUBBER CHEMICALS P.LTD.,RUBBER CHEMICALS,2022-05-18,0,1,2,22000
22842,TATA CONSUMER PRODUCTS LTD.,TEA,2022-05-18,0,1,2,11849
22843,CLIFTON EXPORT,COTTON GOODS,2022-05-18,0,0,0,49
22844,FAIR EXPORTS INDIA P.LTD.,FROZEN MARINE FOODS,2022-05-18,0,1,2,27000
22845,FROSSET FOODS,FOOD STUFFS,2022-05-18,0,2,4,50000
22846,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-05-18,0,1,2,25931
22847,INDIAN PRODUCTS LTD.,SPICES,2022-05-18,1,0,1,18855
22848,KITEX GARMENTS LTD.,COTTON GARMENTS,2022-05-18,0,1,2,9826
22849,KINGS MARINE PRODUCTS,FROZEN MARINE FOODS,2022-05-18,0,1,2,24000
22850,KITEX GARMENTS LTD.,COTTON GOODS,2022-05-18,0,4,8,38170
22851,EVERGREEN EXPORTS,FROZEN YELLOW TUNA,2022-05-18,0,1,2,27000
22852,SUD-CHEMIE INDIA LTD.,CATALYST,2022-05-18,0,2,4,17024
22853,BETA HEALTH CARE PRODUCTS P.LTD.,LATEX GLOVES,2022-05-18,0,1,2,7200
22854,FILTROWIN INDUSTRIES,FILTER ELEMENT,2022-05-18,1,0,1,480
22855,EASTMAN EXPORTS GLOBAL CLOTHING  ,COTTON GOODS,2022-05-18,0,0,0,972
22856,APOLLO TYRES LTD.,TYRES/TUBES,2022-05-18,0,6,12,53790
22857,INDIAN PRODUCTS LTD.,SPICES,2022-05-18,0,3,6,39616
22858,EASTMAN EXPORTS GLOBAL CLOTHING  ,COTTON GOODS,2022-05-18,0,0,0,824
22859,SREE DURGA EXPORTS,COIR PITH,2022-05-18,0,2,4,42000
22860,K.P.R. MILL LTD.,COTTON GOODS,2022-05-18,0,0,0,594
22861,ORLOV GREENTECH P.LTD.,FERRIC CHLORIDE,2022-05-18,5,0,5,135450
22862,KOTTACKAL AGRO FOODS,FOOD STUFFS,2022-05-18,1,0,1,14400
22863,R.L. KHANNA & CO. (OVERSEAS),COIR MATS,2022-05-18,0,1,2,18230
22864,GOLDEN COIR TUFTS,COIR MATS,2022-05-18,0,2,4,38130
22865,BIOWIN AGRO RESEARCH,COFFEE,2022-05-18,1,0,1,19200
22866,N.C. JOHN & SONS LTD.,JUTE MATTING,2022-05-18,1,0,1,4917
22867,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-05-18,0,1,2,5186
22868,THREE STAR MARINE EXPORTS,FROZEN YELLOW TUNA,2022-05-18,0,1,2,28000
22869,CORAL EXPORTS,FROZEN MARINE FOODS,2022-05-18,0,1,2,26000
22870,G.K.S BUSINESS ASSOCIATES,FROZEN MARINE FOODS,2022-05-18,0,1,2,27000
22871,APOLLO TYRES LTD.,TYRES/TUBES,2022-05-18,0,2,4,15562
22872,FIBRE WORLD,COIR MATS,2022-05-18,0,1,2,21800
22873,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-05-18,0,1,2,19593
22874,ATLAS EXPORT ENTERPRISES,COTTON GOODS,2022-05-18,0,0,0,758
22875,PLANT LIPIDS  LTD.,SPICES,2022-05-18,0,1,2,20016
22876,ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,2022-05-18,0,1,2,19626
22877,EXTRA WEAVE,JUTE RUGS,2022-05-18,0,1,2,4971
22878,JAYACHANDRAN ALLOYS P.LTD.,LEAD INGOTS,2022-05-18,8,0,8,191712
22879,PRETTY TEXTILES,COTTON YARN,2022-05-18,0,1,2,22365
22880,MADHU JAYANTI INTERNATIONAL LTD.,TEA,2022-05-18,0,2,4,27156
22881,WALLACE LANGFORD & ASSOCIATES,COIR MATS,2022-05-18,1,0,1,10638
22882,GREEN COLLARS ECO SOLUTIONS P.LTD.,COCONUT SHELLS\CUPS,2022-05-18,0,1,2,19985
22883,FLOORATEX RUBBER & PLASTICS P.LTD.,RUBBER MATS,2022-05-18,1,0,1,6696
22884,CRESCENT INTERNATIONAL TYRE TREADS,TYRE RETREADING MATERIALS,2022-05-18,1,0,1,16681
22885,VIKRMA IMPEX P. LTD.,TEA,2022-05-18,0,1,2,26165
22886,SCM GARMENTS P.LTD.,COTTON GOODS,2022-05-18,2,0,2,5064
22887,SCM GARMENTS P.LTD.,COTTON GOODS,2022-05-18,0,0,0,3311
22888,RAM COIR MILLS,COIR MATS,2022-05-18,0,1,2,22578
22889,C.G.CARBON INDIA P.LTD.,ACTIVATED CARBON,2022-05-18,0,1,2,22000
22890,PARAYIL FOOD PRODUCTS P.LTD.,FOOD STUFFS,2022-05-18,0,1,2,10872
22891,FCI OEN CONNECTORS LTD.,CONNECTORS,2022-05-18,2,0,2,4523
22892,RUBBER TECH,RUBBER MATS,2022-05-18,1,0,1,18126
22893,KERAFIBERTEX INTERNATIONAL P.LTD.,COIR MATS,2022-05-18,0,1,2,15733
22894,WILLIAM GOODACRE & SONS INDIA LTD.,COIR MATS,2022-05-18,0,1,2,19518
22895,LINK UP TEXTILES P. LTD.,COTTON GOODS,2022-05-18,0,0,0,424
22896,SIGNATURE FOAM P.LTD.,RUBBERISED COIR MATRESSES,2022-05-18,0,1,2,5223
22897,ENGLISH INDIAN CLAYS LTD.,CLAY,2022-05-18,1,0,1,13300
22898,SOUPARNIKA EXPORT ENTERPRISES,CASHEW KERNELS,2022-05-18,1,0,1,16000
22899,TALENT INTERNATIONAL,PLYWOOD,2022-05-18,2,0,2,33176
22900,TALENT INTERNATIONAL,PLYWOOD,2022-05-18,2,0,2,32710
22901,CARBORUNDUM UNIVERSAL LTD.,ALUMINIUM OXIDE,2022-05-18,1,0,1,24000
22902,ORLOV GREENTECH P.LTD.,FERRIC CHLORIDE,2022-05-18,5,0,5,130950
22903,GREETINGS KNITWEAR,COTTON GOODS,2022-05-18,0,0,0,2191
22904,PLANT LIPIDS  LTD.,PEPPER,2022-05-18,0,2,4,33000
22905,MAMPILLY PLYWOOD INDUSTRIES,PLYWOOD,2022-05-18,0,4,8,113760
22906,PROFAND VAYALAT MARINE EXPORTS,FROZEN SQUID,2022-05-18,0,1,2,25000
22907,PEEKAY STEEL CASTING LTD.,STEEL CASTINGS,2022-05-18,1,0,1,12720
22908,NEDSPICE PROCESSING INDIA PVT LTD,SPICES,2022-05-18,0,1,2,20000
22909,PARAYIL EXPORTS,FOOD STUFFS,2022-05-18,0,0,0,16228
22910,R.R.INTERNATIONAL,COTTON YARN,2022-05-18,0,2,4,35987
22911,GEO SEAFOODS,FROZEN SHRIMPS,2022-05-18,0,2,4,36000
22912,APOLLO TYRES LTD.,TYRES/TUBES,2022-05-18,0,1,2,17757
22913,S.N.ENTERPRISES,TEA,2022-05-18,0,2,4,43572
22914,NISHANT EXPORT,SPICES,2022-05-18,1,0,1,14000
22915,AMAZING RUBBER PRODUCTS P. LTD.,LATEX GLOVES,2022-05-18,0,2,4,28156
22916,TAJ COIR MILLS,COIR MATS,2022-05-18,0,2,4,38681
22917,SREEJA HOSIERIES,COTTON GOODS,2022-05-18,0,0,0,108
22918,FAMILY PLASTICS&THERMOWARE,PLASTIC PRODUCTS,2022-05-18,0,1,2,6553
22919,APOLLO TYRES LTD.,TYRES/TUBES,2022-05-18,0,2,4,30140
22920,KITEX GARMENTS LTD.,COTTON GOODS,2022-05-18,0,2,4,14608
22921,GAINUP INDUSTRIES P.LTD.,COTTON GOODS,2022-05-18,0,0,0,68
22922,GREETINGS KNITWEAR,COTTON GOODS,2022-05-18,0,0,0,500
22923,BP INTERNATIONAL,COTTON GOODS,2022-05-18,0,0,0,70
22924,EASTMAN EXPORTS GLOBAL CLOTHING  ,COTTON GOODS,2022-05-18,0,1,2,6272
22925,GOKALDAS EXPORTS,COTTON GOODS,2022-05-18,0,0,0,459
22926,PREMIER SEAFOODS EXIM LTD.,FROZEN MARINE FOODS,2022-05-18,0,1,2,24000
22927,EXTRA WEAVE,JUTE RUGS,2022-05-18,0,1,2,10911
22928,STANFAB APPARELS,COTTON GARMENTS,2022-05-20,0,0,0,78
22929,JAI KNIT CREATION,COTTON GARMENTS,2022-05-20,0,0,0,3835
22930,EMM EMM GARMENTS,COTTON GARMENTS,2022-05-20,0,0,0,543
22931,ST.PAUL'S CASHEW FACTORY,CASHEW KERNELS,2022-05-20,1,0,1,15876
22932,PRISMA GARMENTS,COTTON GARMENTS,2022-05-20,0,1,2,7159
22933,ARMSTRONG KNITTING MILLS (P) LTD.,COTTON GARMENTS,2022-05-20,0,2,4,24036
22934,STANFAB APPARELS,COTTON GOODS,2022-05-20,0,0,0,727
22935,U & CO MARINE EXPORTS,FROZEN MARINE FOODS,2022-05-20,0,1,2,24750
22936,RICH WEAR EXPORTS,COTTON GARMENTS,2022-05-20,0,0,0,1457
22937,K&T AGRO MILLS P.LTD.,RICE,2022-05-20,1,0,1,24121
22938,AVT NATURAL PRODUCTS LTD.,MARIGOLD  OLEORESIN,2022-05-20,0,1,2,17472
22939,VINAYAKA ELECTRO ALLOYS INDIA P.LTD.,VALVES,2022-05-20,0,0,0,2696
22940,JUPITER KNITTING CO.,COTTON GARMENTS,2022-05-20,1,0,1,281
22941,AB MAURI INDIA P.LTD.,GINGER,2022-05-20,0,1,2,15000
22942,CAP SEAFOODS P.LTD.,FROZEN MARINE FOODS,2022-05-20,0,2,4,48000
22943,OM SHRI FASHIONS,COTTON GARMENTS,2022-05-20,0,0,0,922
22944,ANUGRAHA VALVE CASTINGS LTD.,VALVES,2022-05-20,1,0,1,12279
22945,PRIMUS INTERTEA TRADE PVT LTD,TEA,2022-05-20,1,0,1,6721
22946,COIR REX,COIR MATS,2022-05-20,0,2,4,31504
22947,OLAM AGRO INDIA LTD.,SPICES,2022-05-20,0,4,8,91695
